City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Karratha,-20.7377,116.8463,-193.38,84,25,24.47,AU,1706982312
1,Kokopo,-4.352,152.2633,-195.10999999999996,82,97,2.44,PG,1706982413
2,Divnoye,45.9089,43.3547,-238.62999999999997,74,100,12.5,RU,1706982421
3,Yarmouth,41.7057,-70.2286,-239.99999999999997,79,100,27.0,US,1706981958
4,Blackmans Bay,-43.0167,147.3167,-213.62999999999997,86,100,5.01,AU,1706982422
5,El Quebrachal,-25.2833,-64.0667,-163.20999999999998,14,5,10.42,AR,1706982423
6,Kalmunai,7.4167,81.8167,-195.67999999999998,84,53,6.24,LK,1706981912
7,Borogontsy,62.6683,131.1683,-317.49,100,62,2.95,RU,1706982425
8,Alice Springs,-23.7,133.8833,-187.94,30,100,10.36,AU,1706981918
9,Waitangi,-43.9535,-176.5597,-215.33999999999997,70,17,22.7,NZ,1706982132
10,Holualoa,19.6228,-155.9522,-207.10999999999996,89,0,33.38,US,1706982434
11,Nemuro,43.3236,145.575,-251.07,69,26,14.09,JP,1706982232
12,Menongue,-14.6585,17.691,-203.44,81,98,3.24,AO,1706982436
13,Olonkinbyen,70.9221,-8.7187,-250.86999999999998,68,100,16.33,SJ,1706982121
14,Qaqortoq,60.7167,-46.0333,-274.31,69,4,8.1,GL,1706981878
15,Keflavik,64.0049,-22.5624,-244.83999999999997,100,100,23.02,IS,1706982146
16,Wailua Homesteads,22.0669,-159.378,-204.35999999999996,60,75,25.32,US,1706981882
17,Cartagena del Chairá,1.3349,-74.8429,-192.40999999999997,75,97,4.56,CO,1706982442
18,Jamestown,42.097,-79.2353,-233.14,76,0,3.44,US,1706981763
19,Santa Ana,33.7456,-117.8678,-212.36999999999998,66,20,6.91,US,1706982443
20,Puerto Natales,-51.7236,-72.4875,-211.89999999999998,36,20,26.46,CL,1706982329
21,Grytviken,-54.2811,-36.5092,-225.43999999999997,93,100,11.7,GS,1706982280
22,Ribeira Grande,38.5167,-28.7,-208.34999999999997,77,20,12.66,PT,1706982445
23,Salmon Arm,50.6998,-119.3024,-232.82999999999998,93,97,2.3,CA,1706981734
24,Tiksi,71.6872,128.8694,-305.90999999999997,100,100,4.83,RU,1706982447
25,Port-aux-Français,-49.35,70.2167,-227.59999999999997,77,59,6.62,TF,1706982447
26,Goondiwindi,-28.55,150.3167,-195.89999999999998,71,8,12.77,AU,1706982448
27,San Patricio,28.017,-97.5169,-203.97999999999996,50,34,14.54,US,1706982121
28,Mokhsogollokh,61.4681,128.9203,-306.91999999999996,100,36,3.38,RU,1706982449
29,Plettenberg Bay,-34.0527,23.3716,-200.91999999999996,80,87,6.42,ZA,1706982452
30,Bethel,41.3712,-73.414,-232.59999999999997,56,0,13.8,US,1706982283
31,Yellowknife,62.456,-114.3525,-272.73999999999995,96,100,16.11,CA,1706982455
32,Ushuaia,-54.8,-68.3,-221.68999999999997,66,75,11.5,AR,1706982456
33,Naryan-Mar,67.6713,53.087,-264.04999999999995,86,22,14.0,RU,1706982219
34,Tura,25.5198,90.2201,-217.96999999999997,33,0,3.6,IN,1706981946
35,Margaret River,-33.95,115.0667,-210.95999999999998,59,56,15.21,AU,1706982460
36,Bredasdorp,-34.5322,20.0403,-197.14,72,87,8.43,ZA,1706982462
37,Katsuura,35.1333,140.3,-227.07,87,100,8.7,JP,1706982463
38,Vilyuysk,63.7553,121.6247,-287.09,97,96,4.21,RU,1706982045
39,Edinburgh of the Seven Seas,-37.0676,-12.3116,-212.27999999999997,72,26,21.47,SH,1706982464
40,Watsonville,36.9102,-121.7569,-220.22999999999996,92,20,0.0,US,1706982464
41,Iqaluit,63.7506,-68.5145,-286.41999999999996,69,20,11.5,CA,1706982465
42,Ust-Nera,64.5667,143.2,-288.91999999999996,99,99,4.41,RU,1706982024
43,Papatowai,-46.5619,169.4708,-224.71999999999997,71,88,9.19,NZ,1706982214
44,Ar Ruways,24.1103,52.7306,-209.2,57,60,15.3,AE,1706982466
45,Dunay,42.8803,132.3375,-265.42999999999995,68,0,14.9,RU,1706982467
46,Tual,-5.6667,132.75,-189.32999999999998,79,72,11.32,ID,1706982474
47,Yuxi,24.355,102.5422,-226.74999999999997,72,20,7.81,CN,1706982478
48,Punta Arenas,-53.15,-70.9167,-219.43999999999997,58,75,19.57,CL,1706982479
49,Kaoma,-14.7833,24.8,-204.32,87,77,4.09,ZM,1706982482
50,Pemangkat,1.1667,108.9667,-194.94,86,99,6.67,ID,1706982483
51,Tangalle,6.024,80.7911,-197.40999999999997,88,61,7.23,LK,1706982290
52,Bengkulu,-3.8004,102.2655,-197.27999999999997,90,100,5.79,ID,1706982259
53,Utrik,11.2278,169.8474,-193.60999999999996,76,28,20.85,MH,1706982488
54,Tazovsky,67.4667,78.7,-267.12,93,100,6.67,RU,1706981912
55,College,64.8569,-147.8028,-310.7,63,100,3.44,US,1706981946
56,Geraldton,-28.7667,114.6,-202.94,73,100,26.46,AU,1706982490
57,Peace River,56.2501,-117.286,-253.43999999999997,57,20,6.91,CA,1706982027
58,Kailua-Kona,19.6406,-155.9956,-203.39,90,0,33.38,US,1706981789
59,Tongliao,43.6125,122.2653,-278.60999999999996,88,5,4.68,CN,1706982495
60,Jõhvi,59.3592,27.4211,-239.11999999999998,92,100,16.71,EE,1706982497
61,Quepos,9.4236,-84.1652,-186.42999999999998,61,14,6.29,CR,1706982500
62,Puerto Ayora,-0.7393,-90.3518,-185.39,79,55,11.23,EC,1706982503
63,Carnarvon,-24.8667,113.6333,-199.49999999999997,86,3,24.81,AU,1706982248
64,Marakkanam,12.2,79.95,-196.30999999999997,78,12,11.9,IN,1706982507
65,Whitehorse,60.7161,-135.0538,-294.38,76,75,4.61,CA,1706981916
66,Bilibino,68.0546,166.4372,-281.7,74,0,10.33,RU,1706982335
67,Mirny,62.5353,113.9611,-290.91999999999996,68,75,1.99,RU,1706982392
68,Greenville,35.6127,-77.3663,-223.01,52,0,5.75,US,1706982478
69,Fale old settlement,-9.3852,-171.2468,-189.23999999999998,78,100,19.53,TK,1706982263
70,Adamstown,-25.066,-130.1015,-196.52999999999997,76,89,5.28,PN,1706982515
71,Shimoda,34.6667,138.95,-230.03999999999996,81,100,4.21,JP,1706982517
72,Longyearbyen,78.2186,15.6401,-261.10999999999996,73,0,18.41,SJ,1706982518
73,Alapa,8.6167,4.3833,-185.32999999999998,15,11,3.78,NG,1706982518
74,El Calafate,-50.3408,-72.2768,-218.32999999999998,43,37,10.47,AR,1706982519
75,Sitka,57.0531,-135.33,-239.45999999999998,80,100,5.75,US,1706981966
76,Nova Sintra,14.8667,-24.7167,-202.84999999999997,68,67,12.57,CV,1706982520
77,St. John's,47.5649,-52.7093,-243.46999999999997,87,100,20.0,CA,1706982521
78,Kruisfontein,-34.0033,24.7314,-199.26,96,86,3.44,ZA,1706982524
79,Udachny,66.4167,112.4,-297.38,90,87,2.86,RU,1706982337
80,Badger,64.8,-147.5333,-310.78999999999996,58,100,3.44,US,1706982528
81,Ghanzi,-21.5667,21.7833,-191.98999999999998,28,71,2.71,BW,1706982529
82,Yatou,37.15,122.3833,-242.58999999999997,68,40,11.07,CN,1706982529
83,Vorgashor,67.5833,63.95,-274.71999999999997,91,100,10.31,RU,1706981967
84,Hermanus,-34.4187,19.2345,-195.33999999999997,67,76,9.86,ZA,1706982531
85,Kerikeri,-35.2268,173.9474,-221.23999999999998,89,2,3.83,NZ,1706982533
86,Guerrero Negro,27.9769,-114.0611,-210.26,55,2,15.41,MX,1706982134
87,Auki,-8.7676,160.7034,-194.02999999999997,90,100,5.66,SB,1706982258
88,Port Mathurin,-19.6833,63.4167,-192.95,72,15,15.55,MU,1706982284
89,Nizhneangarsk,55.7833,109.55,-282.15,90,4,4.0,RU,1706982539
90,Port Lincoln,-34.7333,135.8667,-206.08999999999997,66,0,4.36,AU,1706982540
91,Arhribs,36.7936,4.3116,-223.37999999999997,89,16,3.87,DZ,1706982540
92,Hadibu,12.65,54.0333,-196.46999999999997,76,65,8.14,YE,1706982540
93,Salalah,17.0151,54.0924,-190.65999999999997,34,0,14.97,OM,1706982541
94,Le Port,-20.9373,55.2919,-196.14999999999998,79,82,3.71,RE,1706982541
95,Amga,60.8953,131.9608,-298.14,100,100,1.01,RU,1706982542
96,El Nido,11.1858,119.3956,-193.21999999999997,81,15,12.53,PH,1706982542
97,Kingston,17.997,-76.7936,-186.98999999999998,57,20,5.75,JM,1706982544
98,Chonchi,-42.6128,-73.8092,-203.79999999999998,39,49,2.24,CL,1706982545
99,Jishou,28.3167,109.7167,-244.34999999999997,96,100,4.12,CN,1706982553
100,Klyuchi,52.2667,79.1667,-251.04999999999998,83,100,15.35,RU,1706982553
101,Neryungri,56.6709,124.6491,-302.12,100,89,2.21,RU,1706982555
102,Tulcingo de Valle,18.05,-98.4333,-192.57,33,1,6.11,MX,1706982555
103,Enewetak,11.3474,162.3373,-193.39999999999998,84,64,21.9,MH,1706982556
104,Lüderitz,-26.6481,15.1594,-208.20999999999998,93,33,12.57,NA,1706982332
105,Kashary,49.04,41.0056,-242.74999999999997,92,100,17.2,RU,1706982557
106,Tsiombe,-25.3,45.4833,-197.82,77,25,16.06,MG,1706982557
107,Pineda de Mar,41.6276,2.6889,-208.70999999999998,87,12,5.01,ES,1706982558
108,Rémire-Montjoly,4.9167,-52.2667,-183.51,62,20,12.66,GF,1706982559
109,West Island,-12.1568,96.8225,-190.76999999999998,83,40,10.36,CC,1706982561
110,Balnearia,-31.0088,-62.6673,-167.89,20,40,7.83,AR,1706982563
111,Biltine,14.5333,20.9167,-197.08999999999997,15,11,9.46,TD,1706982563
112,Vilino,44.8456,33.6716,-228.07999999999998,76,100,22.59,UA,1706982565
113,Sambava,-14.2667,50.1667,-194.54999999999998,90,96,10.85,MG,1706982566
114,Namsos,64.4662,11.4957,-235.83999999999997,75,99,40.29,NO,1706982567
115,Skovorodino,53.9833,123.9167,-295.46999999999997,100,19,2.28,RU,1706982321
116,Barakani,-12.1356,44.4317,-191.32999999999998,77,78,2.44,KM,1706982567
117,George Town,5.4112,100.3354,-189.01999999999998,87,20,2.3,MY,1706982568
118,Mukalla,14.5425,49.1242,-197.63,78,17,1.83,YE,1706982570
119,Chibougamau,49.9168,-74.3659,-254.12999999999997,79,100,9.22,CA,1706982570
120,Stanley,54.868,-1.6985,-227.62999999999997,78,20,16.11,GB,1706982435
121,Vila Franca do Campo,37.7167,-25.4333,-208.26,99,19,8.75,PT,1706982224
122,Sarangani,5.4033,125.4636,-191.91999999999996,80,55,22.55,PH,1706982572
123,Tôlanaro,-25.0319,46.9987,-196.07999999999998,83,20,18.41,MG,1706982573
124,Revda,56.801,59.9303,-259.58,95,100,6.06,RU,1706982575
125,Antofagasta,-23.65,-70.4,-195.07,67,6,8.97,CL,1706982423
126,Tamanghasset,22.785,5.5228,-208.83999999999997,10,0,17.27,DZ,1706982578
127,San Juan de Miraflores,-12.1629,-76.9635,-193.82999999999998,80,92,9.78,PE,1706982579
128,Talnakh,69.4865,88.3972,-266.94,96,100,9.19,RU,1706982579
129,San Clemente del Tuyú,-36.3569,-56.7235,-190.83999999999997,61,21,17.4,AR,1706982581
130,Kachug,53.9606,105.8817,-284.09999999999997,100,74,1.01,RU,1706982581
131,Iskateley,67.6803,53.1512,-264.14,86,24,14.0,RU,1706982178
132,Vilyuchinsk,52.9306,158.4028,-275.08,82,28,10.49,RU,1706982583
133,Pangoa,-12.1167,-73.0,-192.19,79,100,2.95,PE,1706982585
134,Calvinia,-31.4707,19.776,-189.98999999999998,39,69,12.53,ZA,1706982585
135,Newnham,-41.3833,147.1333,-213.2,88,72,13.8,AU,1706982589
136,Taoudenni,22.6783,-3.9836,-200.17999999999998,9,3,11.56,ML,1706982590
137,Bonanza,14.0289,-84.591,-187.01999999999998,45,3,6.2,NI,1706982591
138,Portland,45.5234,-122.6762,-224.36999999999998,87,40,3.44,US,1706982526
139,Atafu Village,-8.5421,-172.5159,-189.07999999999998,76,100,19.33,TK,1706982597
140,Lubang,13.8584,120.124,-193.67999999999998,79,48,18.01,PH,1706982598
141,Burang,30.25,81.1667,-259.28,83,34,4.72,CN,1706982599
142,Camaná,-16.6228,-72.7111,-198.76,85,87,6.31,PE,1706982600
143,Albany,42.6001,-73.9662,-236.55999999999997,64,65,3.0,US,1706982600
144,Imishli,39.8709,48.06,-233.09999999999997,49,81,5.41,AZ,1706982602
145,San-Pédro,4.7485,-6.6363,-189.10999999999996,74,100,7.31,CI,1706982049
146,East London,-33.0153,27.9116,-200.60999999999996,88,20,9.22,ZA,1706982316
147,Sinjār,36.3209,41.8754,-227.98999999999998,50,12,2.77,IQ,1706982606
148,São João da Barra,-21.6403,-41.0511,-181.65999999999997,78,79,9.91,BR,1706982207
149,Chinde,26.8418,88.0763,-226.7,65,32,3.83,NP,1706982610
150,Kuah,6.3265,99.8432,-190.76999999999998,78,20,3.44,MY,1706982611
151,Sampit,-2.5333,112.95,-199.40999999999997,98,100,2.28,ID,1706982612
152,Island Harbour,50.724,-1.2758,-218.98999999999998,91,99,5.99,GB,1706982612
153,Codrington,-38.2667,141.9667,-215.54999999999998,91,46,5.19,AU,1706982613
154,Moose Jaw,50.4001,-105.5344,-237.29999999999998,93,15,8.05,CA,1706982332
155,Saipan,15.1355,145.701,-193.64999999999998,73,0,21.85,MP,1706982319
156,Lompoc,34.6391,-120.4579,-216.21999999999997,70,100,5.75,US,1706982618
157,Nelson Bay,-32.7167,152.15,-199.15999999999997,90,20,8.01,AU,1706982619
158,Carroll,39.5501,-77.0164,-226.65999999999997,56,0,6.91,US,1706982623
159,Nasiriyah,31.0521,46.261,-215.36999999999998,37,8,7.76,IQ,1706982626
160,Cuyo,10.8525,121.0086,-193.49999999999997,86,4,17.98,PH,1706982630
161,Moab,38.5733,-109.5498,-227.53999999999996,58,98,6.85,US,1706982634
162,Māndal,25.45,74.5667,-205.66999999999996,39,98,3.4,IN,1706982635
163,Tromsø,69.6496,18.957,-246.52999999999997,100,100,2.3,NO,1706982376
164,Ilulissat,69.2167,-51.1,-278.92999999999995,49,20,10.36,GL,1706982654
165,Crane,31.3974,-102.3501,-216.98999999999998,31,0,33.51,US,1706982656
166,Hithadhoo,-0.6,73.0833,-190.14,77,100,6.78,MV,1706982656
167,Micheweni,-4.9667,39.8333,-191.07,75,71,12.82,TZ,1706982657
168,Al Arţāwīyah,26.5053,45.3444,-218.15999999999997,30,40,8.55,SA,1706982657
169,Torbat-e Ḩeydarīyeh,35.274,59.2195,-242.20999999999998,62,32,4.61,IR,1706982659
170,Tejen,37.3834,60.5054,-235.07,81,49,5.01,TM,1706982661
171,Arenápolis,-14.4503,-56.8461,-190.39,68,100,8.7,BR,1706982661
172,Esquina,-30.0144,-59.5272,-169.23999999999998,21,46,5.37,AR,1706982661
173,Tarakan,3.3,117.6333,-193.38,82,98,8.08,ID,1706982662
174,Isafjordur,66.0755,-23.124,-254.55999999999997,90,82,3.51,IS,1706982663
175,Port Elizabeth,-33.918,25.5701,-197.04999999999998,95,100,8.05,ZA,1706982663
176,Hondomachi-hondo,32.45,130.2,-222.02999999999997,90,100,8.88,JP,1706982664
177,Vorkuta,67.5,64.0,-273.87,90,100,10.16,RU,1706982121
178,Soverato Marina,38.685,16.5499,-217.79999999999998,78,19,8.72,IT,1706982665
179,Tamale,9.4008,-0.8393,-181.82,12,0,6.93,GH,1706982667
180,Rio Grande,-32.035,-52.0986,-181.64,62,3,11.92,BR,1706982668
181,Merca,1.7159,44.7717,-194.07999999999998,84,33,18.68,SO,1706982670
182,Mount Gambier,-37.8333,140.7667,-217.47999999999996,94,2,3.83,AU,1706982672
