City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kutum,14.2,24.6667,12.56,23,6,4.08,SD,1707100049
1,Nogliki,51.8333,143.1667,-14.81,77,3,4.02,RU,1707099861
2,Cologne,50.9333,6.95,12.12,81,100,9.77,DE,1707099851
3,Punta Arenas,-53.15,-70.9167,21.06,40,75,11.32,CL,1707099733
4,Brookings,44.3114,-96.7984,1.0,95,100,3.09,US,1707099759
5,Port-aux-Français,-49.35,70.2167,5.44,72,36,9.72,TF,1707099818
6,Dārāb,28.7519,54.5444,4.76,36,15,0.73,IR,1707099868
7,Nuuk,64.1835,-51.7216,-10.66,67,100,5.14,GL,1707099849
8,Bilibino,68.0546,166.4372,-29.73,84,7,1.62,RU,1707099825
9,Waitangi,-43.9535,-176.5597,16.6,80,66,5.54,NZ,1707099818
10,Haiku-Pauwela,20.9219,-156.3051,23.47,65,20,9.77,US,1707099872
11,Mount Gambier,-37.8333,140.7667,19.67,45,57,5.2,AU,1707099823
12,Chibougamau,49.9168,-74.3659,-14.21,92,0,1.54,CA,1707100050
13,Koryazhma,61.3143,47.1691,-16.07,96,99,3.97,RU,1707100051
14,Aflou,34.1128,2.1023,5.34,49,0,1.32,DZ,1707100051
15,College,64.8569,-147.8028,-17.33,67,100,0.0,US,1707099828
16,Utrik,11.2278,169.8474,26.01,75,88,7.48,MH,1707099824
17,Bredasdorp,-34.5322,20.0403,21.04,89,10,1.24,ZA,1707099831
18,Ushuaia,-54.8,-68.3,20.81,46,75,10.29,AR,1707099829
19,Yaren,-0.5472,166.916,29.19,77,100,7.64,NR,1707100051
20,Eastham,41.8301,-69.9739,3.3,65,0,4.92,US,1707099847
21,Kalmunai,7.4167,81.8167,26.02,85,86,3.2,LK,1707100052
22,Puerto Natales,-51.7236,-72.4875,13.31,87,97,10.42,CL,1707099826
23,Saint-Philippe,-21.3585,55.7679,21.77,71,60,2.94,RE,1707099869
24,Stanley,54.868,-1.6985,10.01,76,75,11.83,GB,1707099760
25,Bethel,41.3712,-73.414,2.2,57,0,1.54,US,1707099557
26,Crane,31.3974,-102.3501,13.29,21,0,5.4,US,1707100052
27,Nova Viçosa,-17.8919,-39.3719,25.06,86,100,3.09,BR,1707100053
28,Adamstown,-25.066,-130.1015,25.18,77,100,4.78,PN,1707099729
29,Zag,46.9441,99.165,-25.66,88,10,1.76,MN,1707100053
30,Flying Fish Cove,-10.4217,105.6791,27.82,89,75,3.6,CX,1707099822
31,Kaohsiung City,22.6163,120.3133,25.97,70,40,4.12,TW,1707100022
32,Praia,14.9215,-23.5087,22.3,78,0,6.17,CV,1707099858
33,Atafu Village,-8.5421,-172.5159,29.03,79,100,10.44,TK,1707099729
34,Ribeira Grande,38.5167,-28.7,17.65,95,100,8.05,PT,1707099828
35,Howard Springs,-12.497,131.047,32.77,74,88,4.92,AU,1707099884
36,Margaret River,-33.95,115.0667,18.81,56,38,3.77,AU,1707099829
37,Isafjordur,66.0755,-23.124,-4.17,86,100,7.7,IS,1707099820
38,Longyearbyen,78.2186,15.6401,-1.09,80,75,7.72,SJ,1707099834
39,Hithadhoo,-0.6,73.0833,28.14,77,100,6.06,MV,1707099866
40,Pisco,-13.7,-76.2167,24.03,78,0,5.14,PE,1707099889
41,Avarua,-21.2078,-159.775,29.03,74,75,2.06,CK,1707099841
42,Gölmarmara,38.7139,27.9142,5.49,80,7,0.7,TR,1707100054
43,Ebon,4.582,168.6964,27.97,71,100,8.4,MH,1707099878
44,Glace Bay,46.1969,-59.957,0.25,98,100,10.29,CA,1707100055
45,Blackmans Bay,-43.0167,147.3167,22.51,48,4,2.24,AU,1707099730
46,Port Alfred,-33.5906,26.891,20.1,98,0,1.67,ZA,1707099734
47,Lompoc,34.6391,-120.4579,15.85,83,100,8.23,US,1707099823
48,Pokachi,61.7198,75.3683,-16.8,98,99,1.62,RU,1707100055
49,Yuzhno-Kurilsk,44.0306,145.8556,-5.9,60,100,8.77,RU,1707099880
50,Edinburgh of the Seven Seas,-37.0676,-12.3116,15.65,72,44,5.46,SH,1707099828
51,Debre Tabor,11.85,38.0167,12.95,69,88,1.85,ET,1707100056
52,Chiredzi,-21.05,31.6667,21.14,74,6,1.42,ZW,1707100056
53,Finisterra,42.9049,-9.2629,10.01,76,100,1.03,ES,1707099858
54,Kavaratti,10.5669,72.642,27.66,72,87,5.64,IN,1707099831
55,Cabo San Lucas,22.8909,-109.9124,22.09,71,0,1.34,MX,1707099847
56,Naryan-Mar,67.6713,53.087,-22.72,93,88,1.79,RU,1707099821
57,I-n-Salah,27.1935,2.4607,13.22,44,0,8.29,DZ,1707100056
58,Māndvi,22.8333,69.3667,20.95,87,0,3.37,IN,1707100056
59,Kapuskasing,49.4169,-82.4331,-2.95,100,0,1.54,CA,1707099845
60,Tual,-5.6667,132.75,28.8,77,73,5.29,ID,1707100057
61,Mikuni,36.2171,136.1519,2.95,89,100,1.85,JP,1707100057
62,Grytviken,-54.2811,-36.5092,2.4,74,7,5.29,GS,1707099730
63,Ngawi,-7.4038,111.4461,26.83,81,93,0.87,ID,1707100057
64,Karachi,24.9056,67.0822,17.9,77,75,2.57,PK,1707100057
65,Lebu,-37.6167,-73.65,13.76,88,0,3.29,CL,1707099824
66,Erenhot,43.6475,111.9767,-12.33,93,84,4.19,CN,1707100058
67,Iqaluit,63.7506,-68.5145,-24.06,76,20,1.03,CA,1707099819
68,Praia da Vitória,38.7333,-27.0667,17.14,94,75,7.23,PT,1707099832
69,Sabang,5.8933,95.3214,27.58,77,94,6.29,ID,1707100058
70,Verāval,20.9,70.3667,21.68,85,2,3.74,IN,1707100058
71,Manaure,11.7751,-72.4445,26.34,82,78,3.0,CO,1707100058
72,Ola,59.5833,151.2833,-13.25,71,99,4.97,RU,1707099847
73,Noyabrsk,63.1994,75.4507,-22.09,100,100,2.24,RU,1707100058
74,Talnakh,69.4865,88.3972,-17.11,96,100,4.2,RU,1707099816
75,Ocean Shores,46.9737,-124.1563,8.34,79,0,5.14,US,1707100059
76,Tiksi,71.6872,128.8694,-33.13,100,78,0.75,RU,1707099817
77,Auki,-8.7676,160.7034,29.22,76,100,5.25,SB,1707100059
78,Vorkuta,67.5,64.0,-17.06,96,100,1.37,RU,1707100059
79,Saltillo,25.4167,-101.0,14.6,27,0,4.92,MX,1707100059
80,Daru,-9.0763,143.2092,29.91,72,74,1.84,PG,1707099858
81,Guerrero Negro,27.9769,-114.0611,16.38,62,0,4.62,MX,1707099893
82,Cidade Velha,14.9167,-23.6167,22.26,78,0,6.17,CV,1707100060
83,Labrador City,52.9463,-66.9114,-20.05,84,40,1.03,CA,1707099886
84,Isangel,-19.55,169.2667,27.06,94,75,3.09,VU,1707100060
85,Ulsteinvik,62.3432,5.8487,2.09,88,100,6.26,NO,1707100060
86,Uturoa,-16.7333,-151.4333,27.63,77,100,4.61,PF,1707099875
87,Port Mathurin,-19.6833,63.4167,25.9,67,14,4.92,MU,1707099839
88,Keflavik,64.0049,-22.5624,-4.76,74,0,3.6,IS,1707099855
89,Itanhém,-17.1664,-40.33,23.06,87,99,2.36,BR,1707100061
90,Maintirano,-18.0667,44.0167,25.99,85,65,2.03,MG,1707100061
91,Lashio,22.9333,97.75,14.86,56,2,0.41,MM,1707100061
92,Juba,4.8517,31.5825,21.57,56,100,1.29,SS,1707100061
93,Mehtar Lām,34.6714,70.2094,4.4,49,40,2.53,AF,1707099978
94,Laguna,38.421,-121.4238,16.76,72,75,19.55,US,1707100061
95,Kill Devil Hills,36.0307,-75.676,6.66,77,0,2.06,US,1707099886
96,Qaqortoq,60.7167,-46.0333,-21.77,67,0,2.56,GL,1707099866
97,Tāfuna,-14.3358,-170.72,29.11,77,80,8.53,AS,1707100062
98,La Paz,-16.5,-68.15,9.99,81,20,3.6,BO,1707099906
99,Mamuju,-2.6748,118.8885,26.41,88,100,3.67,ID,1707099864
100,Callao,-12.0667,-77.15,27.62,65,0,5.14,PE,1707100017
101,Nova Sintra,14.8667,-24.7167,21.33,69,0,5.75,CV,1707099824
102,Kaintragarh,20.7167,84.5333,20.74,61,0,0.34,IN,1707100063
103,Margate,51.3813,1.3862,9.37,83,43,4.02,GB,1707099772
104,Soure,-0.7167,-48.5233,26.53,86,6,4.21,BR,1707100063
105,Hamilton,39.1834,-84.5333,7.47,68,0,5.66,US,1707099876
106,East London,-33.0153,27.9116,22.24,73,0,1.62,ZA,1707099856
107,Dudinka,69.4058,86.1778,-16.88,94,100,6.55,RU,1707099842
108,Albany,42.6001,-73.9662,-1.26,69,6,0.45,US,1707099731
109,El Haouaria,37.05,11.0144,12.01,85,0,7.5,TN,1707100063
110,Kisumu,-0.1022,34.7617,19.89,94,0,1.54,KE,1707100064
111,Olonkinbyen,70.9221,-8.7187,-5.13,81,100,12.91,SJ,1707099828
112,Banda Aceh,5.5577,95.3222,27.19,76,63,4.76,ID,1707100064
113,Ovruch,51.3246,28.8035,3.37,87,100,8.3,UA,1707100064
114,Saint Paul Harbor,57.79,-152.4072,0.73,86,75,0.0,US,1707099830
115,Iskateley,67.6803,53.1512,-22.77,93,90,1.79,RU,1707099855
116,Mandalgovi,45.7625,106.2708,-17.09,95,37,2.3,MN,1707100064
117,Port Macquarie,-31.4333,152.9167,29.38,67,100,7.2,AU,1707099815
118,Ust-Nera,64.5667,143.2,-25.38,88,100,1.76,RU,1707099608
119,Santa Maria,-29.6842,-53.8069,19.61,94,75,2.06,BR,1707100049
120,Petropavlovsk-Kamchatskiy,53.0452,158.6483,-6.67,75,75,4.02,RU,1707099819
121,Codrington,-38.2667,141.9667,18.51,59,52,7.36,AU,1707099858
122,Kiunga,-6.1219,141.2906,32.67,55,100,0.88,PG,1707100065
123,Chonchi,-42.6128,-73.8092,16.56,88,22,1.8,CL,1707099887
124,Puerto Ayora,-0.7393,-90.3518,26.42,89,59,0.45,EC,1707099820
125,Thunder Bay,48.4001,-89.3168,0.99,93,100,1.03,CA,1707099829
126,Constanța,44.1833,28.65,5.39,78,100,7.71,RO,1707099677
127,Racalmuto,37.4071,13.7338,7.05,59,0,2.62,IT,1707100066
128,Invercargill,-46.4,168.35,24.45,65,90,4.92,NZ,1707099836
129,Thompson,55.7435,-97.8558,-6.91,100,100,2.57,CA,1707099829
130,Dzhezkazgan,47.7833,67.7667,-5.68,93,100,6.0,KZ,1707100066
131,West Island,-12.1568,96.8225,24.99,94,100,3.6,CC,1707099823
132,Hilo,19.7297,-155.09,22.85,72,75,1.54,US,1707099728
133,Greenland,43.0362,-70.8328,1.03,66,0,4.63,US,1707100066
134,Hasaki,35.7333,140.8333,6.27,67,100,5.54,JP,1707100066
135,Egilsstadir,65.2653,-14.3948,-12.05,85,0,1.54,IS,1707099895
136,Yellowknife,62.456,-114.3525,-28.71,76,20,2.06,CA,1707099823
137,Saipan,15.1355,145.701,29.39,61,40,10.29,MP,1707099833
138,São Vicente,-23.9631,-46.3919,25.1,26,94,2.58,BR,1707099900
139,Nago,26.5881,127.9761,20.47,83,100,7.15,JP,1707100067
140,Catherinas Lust,6.4,-57.6,26.21,87,66,4.62,GY,1707100067
141,Mount Isa,-20.7333,139.5,35.87,41,68,8.75,AU,1707099861
142,Aş Şuwayrah,32.9256,44.7758,12.22,46,95,3.84,IQ,1707100068
143,Manado,1.487,124.8455,30.43,70,40,2.06,ID,1707100068
144,Tallulah,32.4085,-91.1868,12.03,82,100,1.54,US,1707100068
145,Howrah,22.5892,88.3103,19.0,88,20,2.57,IN,1707099856
146,Papatowai,-46.5619,169.4708,23.74,54,86,3.62,NZ,1707099827
147,Novodvinsk,64.4165,40.8122,-11.14,92,95,4.21,RU,1707100068
148,Whitehorse,60.7161,-135.0538,-22.57,59,75,1.03,CA,1707099831
149,Dryden,49.7833,-92.7503,1.16,100,100,1.03,CA,1707099875
150,Bel Ombre,-4.6167,55.4167,26.91,83,20,0.51,SC,1707100068
151,Anadyr,64.75,177.4833,-17.72,65,0,3.0,RU,1707099824
152,Grajaú,-5.8194,-46.1386,23.55,88,55,0.51,BR,1707100069
153,La Passe,45.5549,-0.8967,7.21,91,85,2.1,FR,1707099608
